"id","address_country","address_locality","address_region","postal_code","street_address","formatted_address","latitude","longitude","zoom","parish_id","name"
874,"fr","SAIX",,"81710","4 rue Saint-Luc",,43.5844415,2.1802638,13,454,"Donnée importée de MesseInfo."
875,"FR","Saix",,"81710","4 Rue Saint-Luc","4, Rue Saint-Luc, 81710 Saix, France",43.5843938,2.1800855,,454,"Donnée de MesseInfo traitée par Google Maps."
876,"fr","SOREZE",,"81540","3 Av de Castres",,43.4535463,2.0692383000001,15,455,"Donnée importée de MesseInfo."
877,"FR","Sorèze",,"81540","3 Avenue de Castres","3, Avenue de Castres, 81540 Sorèze, France",43.4535615,2.0692591,,455,"Donnée de MesseInfo traitée par Google Maps."
878,"fr","ALBI",,"81000","5 BD Gal SIBILLE",,43.9276201,2.1420977,15,456,"Donnée importée de MesseInfo."
879,"FR","Albi",,"81000","5 Boulevard Général Sibille","5, Boulevard Général Sibille, 81000 Albi, France",43.9283772,2.1426295,,456,"Donnée de MesseInfo traitée par Google Maps."
880,"fr","VALENCE D'ALBIGEOIS",,"81340","2 rue du Presbytère",,44.018673,2.402473,11,457,"Donnée importée de MesseInfo."
881,"FR","Valence-d'Albigeois",,"81340","2 Rue de l'Église","2, Rue de l'Église, 81340 Valence-d'Albigeois, France",44.0193988,2.4028117,,457,"Donnée de MesseInfo traitée par Google Maps."
882,"fr","VILLEFRANCHE D'ALBIGEOIS",,"81430","Place de l'église",,43.896896,2.331085,15,458,"Donnée importée de MesseInfo."
883,"FR","Villefranche-d'Albigeois",,"81430"," Place de l'Église",", Place de l'Église, 81430 Villefranche-d'Albigeois, France",43.8966745,2.330903,,458,"Donnée de MesseInfo traitée par Google Maps."
884,"fr","OUROUX SUR SAONE",,"71370","4 place de l'Eglise",,46.721523,4.9536154,15,459,"Donnée importée de MesseInfo."
1072,"fr","PENNE D'AGENAIS",,"47140","7, place du 8 mai 1945",,44.3935823,0.80879660000005,15,555,"Donnée importée de MesseInfo."
